state,total_billions,pop_est,party
ALABAMA,3,5039877,R
ALASKA,3.7,732673,R
AMERICAN SAMOA,0.0686,49710,R
ARIZONA,3.5,7276316,D
ARKANSAS,2.8,3025891,R
CALIFORNIA,18.4,39237836,D
COLORADO,3.2,5812069,D
CONNECTICUT,2.5,3605597,D
DELEWARE,0.792,1003384,D
DISTRICT OF COLUMBIA,1.1,670050,D
FLORIDA,8.2,21781128,R
GEORGIA,5,10799566,D
GUAM,0.1426,153836,D
HAWAII,1,1441553,D
IDAHO,1.2,1900923,R
ILLINOIS,8.4,12671469,D
INDIANA,3.4,6805985,R
IOWA,2.4,3193079,R
KANSAS,1.5,2934582,R
KENTUCKY,3.9,4509394,R
LOUISIANA,4.3,4624047,R
MAINE,1.1,1372247,D
MARYLAND,2.7,6165129,D
MASSACHUSETTS,3.6,6984723,D
MICHIGAN,5.2,10050811,D
MINNESOTA,2.7,5707390,D
MISSISSIPPI,2.3,2949965,R
MISSOURI,3.8,6168187,R
MONTANA,3.3,1104271,R
NEBRASKA,1.3,1963692,R
NEVADA,1.7,3143991,D
NEW HAMPSHIRE,0.7518,1388992,D
NEW JERSEY,5.1,9267130,D
NEW MEXICO,2.6,2115877,D
NEW YORK,10.1,19835913,D
NORTH CAROLINA,4.5,10551162,R
NORTH DAKOTA,1.8,774948,R
NORTHERN MARIANA ISLANDS,0.0833,47329,D
OHIO,6.6,11780017,R
OKLAHOMA,2.9,3986639,R
OREGON,2.3,4246155,D
PENNSYLVANIA,8.1,12964056,D
PUERTO RICO,0.9937,3263584,R
RHODE ISLAND,1.1,1095610,D
SOUTH CAROLINA,2.3,5190705,R
SOUTH DAKOTA,1.3,895376,R
TENNESSEE,3.7,6975218,R
TEXAS,14.2,29527941,R
TRIBAL COMMUNITIES,3,NA,NA
US VIRGIN ISLANDS,0.1483,87146,D
UTAH,1.8,3337975,R
VERMONT,0.8521,645570,D
VIRGINIA,4.5,8642274,D
WASHINGTON,4,7738692,D
WEST VIRGINIA,2,1782959,R
WISCONSIN,2.8,5895908,D
WYOMING,2.3,578803,R
