Year,nbr_hur_adj,nbr_hur_unadj,hurricanes_usa,temp_anamoly,ssst,spdi
1980,5.6,5.6,0.8,0.26,82.03964,2.8708
1981,5.2,5.2,1,0.32,81.88304,2.2747
1982,5.2,5.2,0.6,0.14,81.6503,1.4132
1983,4.8,4.8,1.6,0.31,81.50918,1.1123
1984,4.2,4.2,2,0.15,81.4901,1.3397
1985,4.4,4.4,2.2,0.12,81.60332,1.4556
1986,4.8,4.8,2.2,0.18,81.84002,1.4057
1987,5.2,5.2,2.6,0.32,82.05314,1.7075
1988,5.4,5.4,1.4,0.39,82.17536,2.3569
1989,5.4,5.4,1.2,0.27,82.16564,2.6223
1990,5.6,5.6,1.2,0.45,82.02452,2.2292
1991,5.4,5.4,1.2,0.4,81.82904,1.6827
1992,4.6,4.6,0.6,0.22,81.67334,1.3428
1993,5.2,5.2,1,0.23,81.734,1.5155
1994,6.2,6.2,1.2,0.31,81.95414,2.4098
1995,6,6,1.2,0.44,82.17032,3.3501
1996,7.2,7.2,1.6,0.33,82.37804,3.654
1997,8.2,8.2,2.2,0.46,82.553,3.5959
1998,7.6,7.6,1.8,0.6,82.6268,3.7471
1999,7.6,7.6,1.4,0.38,82.55858,3.8891
2000,7.8,7.8,1.4,0.39,82.41872,3.3709
2001,7.2,7.2,1.2,0.53,82.41242,2.7995
2002,7.4,7.4,1.8,0.62,82.60628,3.231
2003,8.8,8.8,3,0.61,82.86494,4.5551
2004,8,8,3,0.53,83.07068,5.5545
2005,8.4,8.4,3,0.67,83.06402,5.1439
2006,8.6,8.6,3.2,0.63,82.87646,3.8943
2007,7.4,7.4,2,0.66,82.71716,2.9178
2008,6.8,6.8,0.8,0.54,82.74092,2.6936
2009,7.2,7.2,1,0.65,82.93082,2.911
2010,8,8,1.2,0.72,83.06348,3.0732
2011,6.8,6.8,0.6,0.61,83.07806,2.9344
2012,7.4,7.4,0.8,0.65,83.00318,2.342
2013,5.8,5.8,0.8,0.67,82.9085,1.7643
2014,5.8,5.8,1,0.74,82.85504,1.7555
2015,5.8,5.8,1.2,0.89,82.84784,2.6053
2016,7,7,1.6,1.01,82.8437,3.8005
2017,7,7,1.8,0.92,82.7609,4.53
2018,8.8,8.8,3,0.75,,
